Title	Authors	Corporate Authors	Editors	Book Editors	Source Title	Publication Date	Publication Year	Volume	Issue	Part Number	Supplement	Special Issue	Beginning Page	Ending Page	Article Number	DOI	Total Citations	Average per Year
Annotated features of domestic cat - Felis catus genome	"Tamazian, Gaik; Simonov, Serguei; Dobrynin, Pavel; Makunin, Alexey; Logachev, Anton; Komissarov, Aleksey; Shevchenko, Andrey; Brukhin, Vladimir; Cherkasov, Nikolay; Svitin, Anton; Koepfli, Klaus-Peter; Pontius, Joan; Driscoll, Carlos A.; Blackistone, Kevin; Barr, Cristina; Goldman, David; Antunes, Agostinho; Quilez, Javier; Lorente-Galdos, Belen; Alkan, Can; Marques-Bonet, Tomas; Menotti-Raymond, Marylin; David, Victor A.; Narfstroem, Kristina; O'Brien, Stephen J."				GIGASCIENCE	AUG 5 2014	2014	3							13	10.1186/2047-217X-3-13	12	3
The founding charter of the Genomic Observatories Network	"Davies, Neil; Field, Dawn; Amaral-Zettler, Linda; Clark, Melody S.; Deck, John; Drummond, Alexei; Faith, Daniel P.; Geller, Jonathan; Gilbert, Jack; Gloeckner, Frank Oliver; Hirsch, Penny R.; Leong, Jo-Ann; Meyer, Chris; Obst, Matthias; Planes, Serge; Scholin, Chris; Vogler, Alfried P.; Gates, Ruth D.; Toonen, Rob; Berteaux-Lecellier, Veronique; Barbier, Michele; Barker, Katherine; Bertilsson, Stefan; Bicak, Mesude; Bietz, Matthew J.; Bobe, Jason; Bodrossy, Levente; Borja, Angel; Coddington, Jonathan; Fuhrman, Jed; Gerdts, Gunnar; Gillespie, Rosemary; Goodwin, Kelly; Hanson, Paul C.; Hero, Jean-Marc; Hoekman, David; Jansson, Janet; Jeanthon, Christian; Kao, Rebecca; Klindworth, Anna; Knight, Rob; Kottmann, Renzo; Koo, Michelle S.; Kotoulas, Georgios; Lowe, Andrew J.; Marteinsson, Viggo Thor; Meyer, Folker; Morrison, Norman; Myrold, David D.; Pafilis, Evangelos; Parker, Stephanie; Parnell, John Jacob; Polymenakou, Paraskevi N.; Ratnasingham, Sujeevan; Roderick, George K.; Rodriguez-Ezpeleta, Naiara; Schonrogge, Karsten; Simon, Nathalie; Valette-Silver, Nathalie J.; Springer, Yuri P.; Stone, Graham N.; Stones-Havas, Steve; Sansone, Susanna-Assunta; Thibault, Kate M.; Wecker, Patricia; Wichels, Antje; Wooley, John C.; Yahara, Tetsukazu; Zingone, Adriana"	GOs-COS			GIGASCIENCE	MAR 7 2014	2014	3							2	10.1186/2047-217X-3-2	12	3
Connectomics and new approaches for analyzing human brain functional connectivity	"Craddock, R. Cameron; Tungaraza, Rosalia L.; Milham, Michael P."				GIGASCIENCE	MAR 25 2015	2015	4							13	10.1186/s13742-015-0045-x	11	3.67
Using optical mapping data for the improvement of vertebrate genome assemblies	"Howe, Kerstin; Wood, Jonathan M. D."				GIGASCIENCE	MAR 18 2015	2015	4							10	10.1186/s13742-015-0052-y	11	3.67
Optical mapping in plant comparative genomics	"Tang, Haibao; Lyons, Eric; Town, Christopher D."				GIGASCIENCE	FEB 10 2015	2015	4							3	10.1186/s13742-015-0044-y	11	3.67
Crowdfunding the Azolla fern genome project: a grassroots approach	"Li, Fay-Wei; Pryer, Kathleen M."				GIGASCIENCE	SEP 26 2014	2014	3							16	10.1186/2047-217X-3-16	11	2.75
INC-Seq: accurate single molecule reads using nanopore sequencing	"Li, Chenhao; Chng, Kern Rei; Boey, Esther Jia Hui; Ng, Amanda Hui Qi; Wilm, Andreas; Nagarajan, Niranjan"				GIGASCIENCE	AUG 2 2016	2016	5							34	10.1186/s13742-016-0140-7	10	5
Improving functional magnetic resonance imaging reproducibility	"Pernet, Cyril; Poline, Jean-Baptiste"				GIGASCIENCE	MAR 31 2015	2015	4							15	10.1186/s13742-015-0055-8	10	3.33
Computational methods for optical mapping	"Mendelowitz, Lee; Pop, Mihai"				GIGASCIENCE	DEC 30 2014	2014	3							33	10.1186/2047-217X-3-33	10	2.5
Data sharing and publishing in the field of neuroimaging	"Breeze, Janis L.; Poline, Jean-Baptiste; Kennedy, David N."				GIGASCIENCE	2012	2012	1							9	10.1186/2047-217X-1-9	10	1.67
GigaDB: announcing the GigaScience database	"Sneddon, Tam P.; Li, Peter; Edmunds, Scott C."				GIGASCIENCE	2012	2012	1							11	10.1186/2047-217X-1-11	10	1.67
Mitochondrial metagenomics: letting the genes out of the bottle	"Crampton-Platt, Alex; Yu, Douglas W.; Zhou, Xin; Vogler, Alfried P."				GIGASCIENCE	MAR 22 2016	2016	5							15	10.1186/s13742-016-0120-y	9	4.5
Galaxy-M: a Galaxy workflow for processing and analyzing direct infusion and liquid chromatography mass spectrometry-based metabolomics data	"Davidson, Robert L.; Weber, Ralf J. M.; Liu, Haoyu; Sharma-Oates, Archana; Viant, Mark R."				GIGASCIENCE	FEB 23 2016	2016	5							10	10.1186/s13742-016-0115-8	9	4.5
Multi-platform microRNA profiling of hepatoblastoma patients using formalin fixed paraffin embedded archival samples	"Leichter, Anna L.; Purcell, Rachel V.; Sullivan, Michael J.; Eccles, Michael R.; Chatterjee, Aniruddha"				GIGASCIENCE	NOV 25 2015	2015	4							54	10.1186/s13742-015-0099-9	9	3
"Visualizing genome and systems biology: technologies, tools, implementation techniques and trends, past, present and future"	"Pavlopoulos, Georgios A.; Malliarakis, Dimitris; Papanikolaou, Nikolas; Theodosiou, Theodosis; Enright, Anton J.; Iliopoulos, Ioannis"				GIGASCIENCE	AUG 25 2015	2015	4							38	10.1186/s13742-015-0077-2	9	3
Applying compressed sensing to genome-wide association studies	"Vattikuti, Shashaank; Lee, James J.; Chang, Christopher C.; Hsu, Stephen D. H.; Chow, Carson C."				GIGASCIENCE	JUN 16 2014	2014	3							10	10.1186/2047-217X-3-10	9	2.25
Galaxy tools to study genome diversity	"Bedoya-Reina, Oscar C.; Ratan, Aakrosh; Burhans, Richard; Kim, Hie Lim; Giardine, Belinda; Riemer, Cathy; Li, Qunhua; Olson, Thomas L.; Loughran, Thomas P., Jr.; vonHoldt, Bridgett M.; Perry, George H.; Schuster, Stephan C.; Miller, Webb"				GIGASCIENCE	2013	2013	2							17	10.1186/2047-217X-2-17	9	1.8
Ten recommendations for creating usable bioinformatics command line software	"Seemann, Torsten"				GIGASCIENCE	2013	2013	2							15	10.1186/2047-217X-2-15	9	1.8
Draft genome of the living fossil Ginkgo biloba	"Guan, Rui; Zhao, Yunpeng; Zhang, He; Fan, Guangyi; Liu, Xin; Zhou, Wenbin; Shi, Chengcheng; Wang, Jiahao; Liu, Weiqing; Liang, Xinming; Fu, Yuanyuan; Ma, Kailong; Zhao, Lijun; Zhang, Fumin; Lu, Zuhong; Lee, Simon Ming-Yuen; Xu, Xun; Wang, Jian; Yang, Huanming; Fu, Chengxin; Ge, Song; Chen, Wenbin"				GIGASCIENCE	NOV 21 2016	2016	5							49	10.1186/s13742-016-0154-1	8	4
Streaming algorithms for identification of pathogens and antibiotic resistance potential from real-time MinION (TM) sequencing	"Minh Duc Cao; Ganesamoorthy, Devika; Elliott, Alysha G.; Zhang, Huihui; Cooper, Matthew A.; Coin, Lachlan J. M."				GIGASCIENCE	JUL 26 2016	2016	5							32	10.1186/s13742-016-0137-2	8	4
Methodological challenges and analytic opportunities for modeling and interpreting Big Healthcare Data	"Dinov, Ivo D."				GIGASCIENCE	FEB 25 2016	2016	5							12	10.1186/s13742-016-0117-6	8	4
Bioboxes: standardised containers for interchangeable bioinformatics software	"Belmann, Peter; Droege, Johannes; Bremges, Andreas; McHardy, Alice C.; Sczyrba, Alexander; Barton, Michael D."				GIGASCIENCE	OCT 15 2015	2015	4							47	10.1186/s13742-015-0087-0	8	2.67
Standardizing metadata and taxonomic identification in metabarcoding studies	"Tedersoo, Leho; Ramirez, Kelly S.; Nilsson, R. Henrik; Kaljuvee, Aivi; Koljalg, Urmas; Abarenkov, Kessy"				GIGASCIENCE	JUL 31 2015	2015	4							34	10.1186/s13742-015-0074-5	8	2.67
Reconstructing a comprehensive transcriptome assembly of a white-pupal translocated strain of the pest fruit fly Bactrocera cucurbitae	"Sim, Sheina B.; Calla, Bernarda; Hall, Brian; DeRego, Theodore; Geib, Scott M."				GIGASCIENCE	MAR 31 2015	2015	4							14	10.1186/s13742-015-0053-x	8	2.67
Introducing BASE: the Biomes of Australian Soil Environments soil microbial diversity database	"Bissett, Andrew; Fitzgerald, Anna; Meintjes, Thys; Mele, Pauline M.; Reith, Frank; Dennis, Paul G.; Breed, Martin F.; Brown, Belinda; Brown, Mark V.; Brugger, Joel; Byrne, Margaret; Caddy-Retalic, Stefan; Carmody, Bernie; Coates, David J.; Correa, Carolina; Ferrari, Belinda C.; Gupta, Vadakattu V. S. R.; Hamonts, Kelly; Haslem, Asha; Hugenholtz, Philip; Karan, Mirko; Koval, Jason; Lowe, Andrew J.; Macdonald, Stuart; McGrath, Leanne; Martin, David; Morgan, Matt; North, Kristin I.; Paungfoo-Lonhienne, Chanyarat; Pendall, Elise; Phillips, Lori; Pirzl, Rebecca; Powell, Jeff R.; Ragan, Mark A.; Schmidt, Susanne; Seymour, Nicole; Snape, Ian; Stephen, John R.; Stevens, Matthew; Tinning, Matt; Williams, Kristen; Yeoh, Yun Kit; Zammit, Carla M.; Young, Andrew"				GIGASCIENCE	MAY 18 2016	2016	5							21	10.1186/s13742-016-0126-5	7	3.5
Integrated metabolomics and phytochemical genomics approaches for studies on rice	"Okazaki, Yozo; Saito, Kazuki"				GIGASCIENCE	MAR 2 2016	2016	5							11	10.1186/s13742-016-0116-7	7	3.5
Hybrid de novo genome assembly of the Chinese herbal plant danshen (Salvia miltiorrhiza Bunge)	"Zhang, Guanghui; Tian, Yang; Zhang, Jing; Shu, Liping; Yang, Shengchao; Wang, Wen; Sheng, Jun; Dong, Yang; Chen, Wei"				GIGASCIENCE	DEC 14 2015	2015	4							62	10.1186/s13742-015-0104-3	7	2.33
Deeply sequenced metagenome and metatranscriptome of a biogas-producing microbial community from an agricultural production-scale biogas plant	"Bremges, Andreas; Maus, Irena; Belmann, Peter; Eikmeyer, Felix; Winkler, Anika; Albersmeier, Andreas; Puehler, Alfred; Schlueter, Andreas; Sczyrba, Alexander"				GIGASCIENCE	JUL 30 2015	2015	4							33	10.1186/s13742-015-0073-6	7	2.33
Improving the ostrich genome assembly using optical mapping data	"Zhang, Jilin; Li, Cai; Zhou, Qi; Zhang, Guojie"				GIGASCIENCE	MAY 12 2015	2015	4							24	10.1186/s13742-015-0062-9	7	2.33
Non-targeted metabolomics and lipidomics LC-MS data from maternal plasma of 180 healthy pregnant women	"Luan, Hemi; Meng, Nan; Liu, Ping; Fu, Jin; Chen, Xiaomin; Rao, Weiqiao; Jiang, Hui; Xu, Xun; Cai, Zongwei; Wang, Jun"				GIGASCIENCE	APR 9 2015	2015	4							16	10.1186/s13742-015-0054-9	7	2.33
The rise of large-scale imaging studies in psychiatry	"Turner, Jessica A."				GIGASCIENCE	NOV 25 2014	2014	3							29	10.1186/2047-217X-3-29	7	1.75
A dataset comprising four micro-computed tomography scans of freshly fixed and museum earthworm specimens	"Lenihan, Jennifer; Kvist, Sebastian; Fernandez, Rosa; Giribet, Gonzalo; Ziegler, Alexander"				GIGASCIENCE	MAY 16 2014	2014	3							6	10.1186/2047-217X-3-6	7	1.75
CGtag: complete genomics toolkit and annotation in a cloud-based Galaxy	"Hiltemann, Saskia; Mei, Hailiang; de Hollander, Mattias; Palli, Ivo; van der Spek, Peter; Jenster, Guido; Stubbs, Andrew"				GIGASCIENCE	JAN 24 2014	2014	3							1	10.1186/2047-217X-3-1	7	1.75
Circadian rhythms have significant effects on leaf-to-canopy scale gas exchange under field conditions	"Resco de Dios, Victor; Gessler, Arthur; Pedro Ferrio, Juan; Alday, Josu G.; Bahn, Michael; del Castillo, Jorge; Devidal, Sebastien; Garcia-Munoz, Sonia; Kayler, Zachary; Landais, Damien; Martin-Gomez, Paula; Milcu, Alexandru; Piel, Clement; Pirhofer-Walzl, Karin; Ravel, Olivier; Salekin, Serajis; Tissue, David T.; Tjoelker, Mark G.; Voltas, Jordi; Roy, Jacques"				GIGASCIENCE	OCT 20 2016	2016	5							43	10.1186/s13742-016-0149-y	6	3
High-throughput identification of novel conotoxins from the Chinese tubular cone snail (Conus betulinus) by multi-transcriptome sequencing	"Peng, Chao; Yao, Ge; Gao, Bing-Miao; Fan, Chong-Xu; Bian, Chao; Wang, Jintu; Cao, Ying; Wen, Bo; Zhu, Yabing; Ruan, Zhiqiang; Zhao, Xiaofei; You, Xinxin; Bai, Jie; Li, Jia; Lin, Zhilong; Zou, Shijie; Zhang, Xinhui; Qiu, Ying; Chen, Jieming; Coon, Steven L.; Yang, Jiaan; Chen, Ji-Sheng; Shi, Qiong"				GIGASCIENCE	APR 14 2016	2016	5							17	10.1186/s13742-016-0122-9	6	3
Addressing health disparities in Hispanic breast cancer: accurate and inexpensive sequencing of BRCA1 and BRCA2	"Dean, Michael; Boland, Joseph; Yeager, Meredith; Im, Kate M.; Garland, Lisa; Rodriguez-Herrera, Maria; Perez, Mylen; Mitchell, Jason; Roberson, David; Jones, Kristine; Lee, Hyo Jung; Eggebeen, Rebecca; Sawitzke, Julie; Bass, Sara; Zhang, Xijun; Robles, Vivian; Hollis, Celia; Barajas, Claudia; Rath, Edna; Arentz, Candy; Figueroa, Jose A.; Nguyen, Diane D.; Nahleh, Zeina"				GIGASCIENCE	NOV 4 2015	2015	4							50	10.1186/s13742-015-0088-z	6	2
Rcorrector: efficient and accurate error correction for Illumina RNA-seq reads	"Song, Li; Florea, Liliana"				GIGASCIENCE	OCT 19 2015	2015	4							48	10.1186/s13742-015-0089-y	6	2
VirAmp: a galaxy-based viral genome assembly pipeline	"Wan, Yinan; Renner, Daniel W.; Albert, Istvan; Szpara, Moriah L."				GIGASCIENCE	APR 28 2015	2015	4							19	10.1186/s13742-015-0060-y	6	2
Low coverage sequencing of two Asian elephant (Elephas maximus) genomes	"Dastjerdi, Akbar; Robert, Christelle; Watson, Mick"				GIGASCIENCE	JUL 10 2014	2014	3							12	10.1186/2047-217X-3-12	6	1.5
Sequence squeeze: an open contest for sequence compression	"Holland, Richard C. G.; Lynch, Nick"				GIGASCIENCE	APR 18 2013	2013	2							5	10.1186/2047-217X-2-5	6	1.2
"Genomic resources and draft assemblies of the human and porcine varieties of scabies mites, Sarcoptes scabiei var. hominis and var. suis"	"Mofiz, Ehtesham; Holt, Deborah C.; Seemann, Torsten; Currie, Bart J.; Fischer, Katja; Papenfuss, Anthony T."				GIGASCIENCE	JUN 2 2016	2016	5							23	10.1186/s13742-016-0129-2	5	2.5
Brainhack: a collaborative workshop for the open neuroscience community	"Craddock, R. Cameron; Margulies, Daniel S.; Bellec, Pierre; Nichols, B. Nolan; Alcauter, Sarael; Barrios, Fernando A.; Burnod, Yves; Cannistraci, Christopher J.; Cohen-Adad, Julien; De Leener, Benjamin; Dery, Sebastien; Downar, Jonathan; Dunlop, Katharine; Franco, Alexandre R.; Froehlich, Caroline Seligman; Gerber, Andrew J.; Ghosh, Satrajit S.; Grabowski, Thomas J.; Hill, Sean; Heinsfeld, Anibal Solon; Hutchison, R. Matthew; Kundu, Prantik; Laird, Angela R.; Liew, Sook-Lei; Lurie, Daniel J.; McLaren, Donald G.; Meneguzzi, Felipe; Mennes, Maarten; Mesmoudi, Salma; O'Connor, David; Pasaye, Erick H.; Peltier, Scott; Poline, Jean-Baptiste; Prasad, Gautam; Pereira, Ramon Fraga; Quirion, Pierre-Olivier; Rokem, Ariel; Saad, Ziad S.; Shi, Yonggang; Strother, Stephen C.; Toro, Roberto; Uddin, Lucina Q.; Van Horn, John D.; Van Meter, John W.; Welsh, Robert C.; Xu, Ting"				GIGASCIENCE	MAR 31 2016	2016	5							16	10.1186/s13742-016-0121-x	5	2.5
Genomic analyses reveal FAM84B and the NOTCH pathway are associated with the progression of esophageal squamous cell carcinoma	"Cheng, Caixia; Cui, Heyang; Zhang, Ling; Jia, Zhiwu; Song, Bin; Wang, Fang; Li, Yaoping; Liu, Jing; Kong, Pengzhou; Shi, Ruyi; Bi, Yanghui; Yang, Bin; Wang, Juan; Zhao, Zhenxiang; Zhang, Yanyan; Hu, Xiaoling; Yang, Jie; He, Chanting; Zhao, Zhiping; Wang, Jinfen; Xi, Yanfeng; Xu, Enwei; Li, Guodong; Guo, Shiping; Chen, Yunqing; Yang, Xiaofeng; Chen, Xing; Liang, Jianfang; Guo, Jiansheng; Cheng, Xiaolong; Wang, Chuangui; Zhan, Qimin; Cui, Yongping"				GIGASCIENCE	JAN 11 2016	2016	5							1	10.1186/s13742-015-0107-0	5	2.5
Full-length single-cell RNA-seq applied to a viral human cancer: applications to HPV expression and splicing analysis in HeLa S3 cells	"Wu, Liang; Zhang, Xiaolong; Zhao, Zhikun; Wang, Ling; Li, Bo; Li, Guibo; Dean, Michael; Yu, Qichao; Wang, Yanhui; Lin, Xinxin; Rao, Weijian; Mei, Zhanlong; Li, Yang; Jiang, Runze; Yang, Huan; Li, Fuqiang; Xie, Guoyun; Xu, Liqin; Wu, Kui; Zhang, Jie; Chen, Jianghao; Wang, Ting; Kristiansen, Karsten; Zhang, Xiuqing; Li, Yingrui; Yang, Huanming; Wang, Jian; Hou, Yong; Xu, Xun"				GIGASCIENCE	NOV 5 2015	2015	4							51	10.1186/s13742-015-0091-4	5	1.67
NCBI BLAST plus integrated into Galaxy	"Cock, Peter J. A.; Chilton, John M.; Gruening, Bjoern; Johnson, James E.; Soranzo, Nicola"				GIGASCIENCE	AUG 25 2015	2015	4							39	10.1186/s13742-015-0080-7	5	1.67
"SOAPdenovo2: an empirically improved memory-efficient short-read de novo assembler (vol 1, 18, 2012)"	"Luo, Ruibang; Liu, Binghang; Xie, Yinlong; Li, Zhenyu; Huang, Weihua; Yuan, Jianying; He, Guangzhu; Chen, Yanxiang; Pan, Qi; Liu, Yunjie; Tang, Jingbo; Wu, Gengxiong; Zhang, Hao; Shi, Yujian; Liu, Yong; Yu, Chang; Wang, Bo; Lu, Yao; Han, Changlei; Cheung, David W.; Yiu, Siu-Ming; Peng, Shaoliang; Zhu Xiaoqian; Liu, Guangming; Liao, Xiangke; Li, Yingrui; Yang, Huanming; Wang, Jian; Lam, Tak-Wah; Wang, Jun"				GIGASCIENCE	JUL 8 2015	2015	4							30	10.1186/s13742-015-0069-2	5	1.67
Badomics words and the power and peril of the ome-meme	"Eisen, Jonathan A."				GIGASCIENCE	2012	2012	1							6	10.1186/2047-217X-1-6	5	0.83
Large and linked in scientific publishing	"Goodman, Laurie; Edmunds, Scott C.; Basford, Alexandra T."				GIGASCIENCE	2012	2012	1							1	10.1186/2047-217X-1-1	5	0.83
Improved hybrid de novo genome assembly of domesticated apple (Malus x domestica)	"Li, Xuewei; Kui, Ling; Zhang, Jing; Xie, Yinpeng; Wang, Liping; Yan, Yan; Wang, Na; Xu, Jidi; Li, Cuiying; Wang, Wen; van Nocker, Steve; Dong, Yang; Ma, Fengwang; Guan, Qingmei"				GIGASCIENCE	AUG 8 2016	2016	5							35	10.1186/s13742-016-0139-0	4	2
Tools and techniques for computational reproducibility	"Piccolo, Stephen R.; Frampton, Michael B."				GIGASCIENCE	JUL 11 2016	2016	5							30	10.1186/s13742-016-0135-4	4	2
"Transcriptome sequences spanning key developmental states as a resource for the study of the cestode Schistocephalus solidus, a threespine stickleback parasite"	"Hebert, Francois Olivier; Grambauer, Stephan; Barber, Iain; Landry, Christian R.; Aubin-Horth, Nadia"				GIGASCIENCE	JUN 2 2016	2016	5							24	10.1186/s13742-016-0128-3	4	2
"Low coverage sequencing of three echinoderm genomes: the brittle star Ophionereis fasciata, the sea star Patiriella regularis, and the sea cucumber Australostichopus mollis"	"Long, Kyle A.; Nossa, Carlos W.; Sewell, Mary A.; Putnam, Nicholas H.; Ryan, Joseph F."				GIGASCIENCE	MAY 10 2016	2016	5							20	10.1186/s13742-016-0125-6	4	2
Micro-computed tomography scan and virtual histological slide data for the land planarian Obama otavioi (Platyhelminthes)	"Carbayo, Fernando; Lenihan, Jennifer Winifred"				GIGASCIENCE	MAR 16 2016	2016	5							13	10.1186/s13742-016-0119-4	4	2
"Discovery, genotyping and characterization of structural variation and novel sequence at single nucleotide resolution from de novo genome assemblies on a population scale"	"Liu, Siyang; Huang, Shujia; Rao, Junhua; Ye, Weijian; Krogh, Anders; Wang, Jun"	Genome Denmark Consortium			GIGASCIENCE	DEC 24 2015	2015	4							64	10.1186/s13742-015-0103-4	4	1.33
"GenomeTester4: a toolkit for performing basic set operations - union, intersection and complement on k-mer lists"	"Kaplinski, Lauris; Lepamets, Maarja; Remm, Maido"				GIGASCIENCE	DEC 3 2015	2015	4							58	10.1186/s13742-015-0097-y	4	1.33
"A dataset describing brooding in three species of South African brittle stars, comprising seven high-resolution, micro X-ray computed tomography scans"	"Landschoff, Jannes; Du Plessis, Anton; Griffiths, Charles L."				GIGASCIENCE	NOV 17 2015	2015	4							52	10.1186/s13742-015-0093-2	4	1.33
"A genome draft of the legless anguid lizard, Ophisaurus gracilis"	"Song, Bo; Cheng, Shifeng; Sun, Yanbo; Zhong, Xiao; Jin, Jieqiong; Guan, Rui; Murphy, Robert W.; Che, Jing; Zhang, Yaping; Liu, Xin"				GIGASCIENCE	APR 9 2015	2015	4							17	10.1186/s13742-015-0056-7	4	1.33
Think globally and solve locally: secondary memory-based network learning for automated multi-species function prediction	"Mesiti, Marco; Re, Matteo; Valentini, Giorgio"				GIGASCIENCE	APR 23 2014	2014	3							5	10.1186/2047-217X-3-5	4	1
Analyzing climate variations at multiple timescales can guide Zika virus response measures	"Munoz, Angel G.; Thomson, Madeleine C.; Goddard, Lisa; Aldighieri, Sylvain"				GIGASCIENCE	OCT 6 2016	2016	5							41	10.1186/s13742-016-0146-1	3	1.5
Gigwa-Genotype investigator for genome-wide analyses	"Sempere, Guilhem; Philippe, Florian; Dereeper, Alexis; Ruiz, Manuel; Sarah, Gautier; Larmande, Pierre"				GIGASCIENCE	JUN 6 2016	2016	5							25	10.1186/s13742-016-0131-8	3	1.5
Genomes and virulence difference between two physiological races of Phytophthora nicotianae	"Liu, Hui; Ma, Xiao; Yu, Haiqin; Fang, Dunhuang; Li, Yongping; Wang, Xiao; Wang, Wen; Dong, Yang; Xiao, Bingguang"				GIGASCIENCE	JAN 28 2016	2016	5							3	10.1186/s13742-016-0108-7	3	1.5
"De novo construction of an expanded transcriptome assembly for the western tarnished plant bug, Lygus hesperus"	"Tassone, Erica E.; Geib, Scott M.; Hall, Brian; Fabrick, Jeffrey A.; Brent, Colin S.; Hull, J. Joe"				GIGASCIENCE	JAN 28 2016	2016	5							6	10.1186/s13742-016-0109-6	3	1.5
Single-molecule optical genome mapping of a human HapMap and a colorectal cancer cell line	"Teo, Audrey S. M.; Verzotto, Davide; Yao, Fei; Nagarajan, Niranjan; Hillmer, Axel M."				GIGASCIENCE	DEC 29 2015	2015	4							65	10.1186/s13742-015-0106-1	3	1
Enhanced reproducibility of SADI web service workflows with Galaxy and Docker	"Aranguren, Mikel Egana; Wilkinson, Mark D."				GIGASCIENCE	DEC 3 2015	2015	4							59	10.1186/s13742-015-0092-3	3	1
A large and diverse collection of bovine genome sequences from the Canadian Cattle Genome Project	"Stothard, Paul; Liao, Xiaoping; Arantes, Adriano S.; De Pauw, Mary; Coros, Colin; Plastow, Graham S.; Sargolzaei, Mehdi; Crowley, John J.; Basarab, John A.; Schenkel, Flavio; Moore, Stephen; Miller, Stephen P."				GIGASCIENCE	OCT 26 2015	2015	4							49	10.1186/s13742-015-0090-5	3	1
A close look at protein function prediction evaluation protocols	"Kahanda, Indika; Funk, Christopher S.; Ullah, Fahad; Verspoor, Karin M.; Ben-Hur, Asa"				GIGASCIENCE	SEP 14 2015	2015	4							41	10.1186/s13742-015-0082-5	3	1
Tentacle: distributed quantification of genes in metagenomes	"Boulund, Fredrik; Sjogren, Anders; Kristiansson, Erik"				GIGASCIENCE	SEP 7 2015	2015	4							40	10.1186/s13742-015-0078-1	3	1
Event-related potential datasets based on a three-stimulus paradigm	"Vareka, Lukas; Bruha, Petr; Moucek, Roman"				GIGASCIENCE	DEC 12 2014	2014	3							35	10.1186/2047-217X-3-35	3	0.75
The birds of Genome10K	"OBrien, Stephen J.; Haussler, David; Ryder, Oliver"				GIGASCIENCE	DEC 11 2014	2014	3							32	10.1186/2047-217X-3-32	3	0.75
"A comprehensive resource of genomic, epigenomic and transcriptomic sequencing data for the black truffle Tuber melanosporum"	"Chen, Pao-Yang; Montanini, Barbara; Liao, Wen-Wei; Morselli, Marco; Jaroszewicz, Artur; Lopez, David; Ottonello, Simone; Pellegrini, Matteo"				GIGASCIENCE	OCT 30 2014	2014	3							25	10.1186/2047-217X-3-25	3	0.75
A dataset comprising 141 magnetic resonance imaging scans of 98 extant sea urchin species	"Ziegler, Alexander; Faber, Cornelius; Mueller, Susanne; Nagelmann, Nina; Schroeder, Leif"				GIGASCIENCE	OCT 14 2014	2014	3							21	10.1186/2047-217X-3-21	3	0.75
De novo assembly of the common marmoset transcriptome from NextGen mRNA sequences	"Maudhoo, Mnirnal D.; Ren, Dongren; Gradnigo, Julien S.; Gibbs, Robert M.; Lubker, Austin C.; Moriyama, Etsuko N.; French, Jeffrey A.; Norgren, Robert B., Jr."				GIGASCIENCE	SEP 19 2014	2014	3							14	10.1186/2047-217X-3-14	3	0.75
Peering into peer-review at GigaScience	"Edmunds, Scott C."				GIGASCIENCE	JAN 24 2013	2013	2							1	10.1186/2047-217X-2-1	3	0.6
On the evolving portfolio of community-standards and data sharing policies: turning challenges into new opportunities	"Sansone, Susanna-Assunta; Rocca-Serra, Philippe"				GIGASCIENCE	2012	2012	1							10	10.1186/2047-217X-1-10	3	0.5
MinION (TM) nanopore sequencing of environmental metagenomes: a synthetic approach	"Brown, Bonnie L.; Watson, Mick; Minot, Samuel S.; Rivera, Maria C.; Franklin, Rima B."				GIGASCIENCE	FEB 24 2017	2017	6	3							10.1093/gigascience/gix007	2	2
"Draft genome of the honey bee ectoparasitic mite, Tropilaelaps mercedesae, is shaped by the parasitic life history"	"Dong, Xiaofeng; Armstrong, Stuart D.; Xia, Dong; Makepeace, Benjamin L.; Darby, Alistair C.; Kadowaki, Tatsuhiko"				GIGASCIENCE	FEB 22 2017	2017	6	3							10.1093/gigascience/gix008	2	2
Estimating the total number of phosphoproteins and phosphorylation sites in eukaryotic proteomes	"Vlastaridis, Panayotis; Kyriakidou, Pelagia; Chaliotis, Anargyros; de Peer, Yves Van; Oliver, Stephen G.; Amoutzias, Grigoris D."				GIGASCIENCE	JAN 7 2017	2017	6	2							10.1093/gigascience/giw015	2	2
"Draft genome of the leopard gecko, Eublepharis macularius"	"Xiong, Zijun; Li, Fang; Li, Qiye; Zhou, Long; Gamble, Tony; Zheng, Jiao; Kui, Ling; Li, Cai; Li, Shengbin; Yang, Huanming; Zhang, Guojie"				GIGASCIENCE	OCT 26 2016	2016	5							47	10.1186/s13742-016-0151-4	2	1
RES-Scanner: a software package for genome-wide identification of RNA-editing sites	"Wang, Zongji; Lian, Jinmin; Li, Qiye; Zhang, Pei; Zhou, Yang; Zhan, Xiaoyu; Zhang, Guojie"				GIGASCIENCE	AUG 18 2016	2016	5							37	10.1186/s13742-016-0143-4	2	1
Recommendations on e-infrastructures for next-generation sequencing	"Spjuth, Ola; Bongcam-Rudloff, Erik; Dahlberg, Johan; Dahlo, Martin; Kallio, Aleksi; Pireddu, Luca; Vezzi, Francesco; Korpelainen, Eija"				GIGASCIENCE	JUN 7 2016	2016	5							26	10.1186/s13742-016-0132-7	2	1
